이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2021/06/28/SB000000000032134667_1624869884_image1_S.jpeg,하루배송,지니슬로우x하루배송,린넨 셔츠 포켓 크롭 블라우스_지니슬로우_2,7%,"22,040원","23,700원",27개 구매중,상의
https://image.brandi.me/cproduct/2021/06/27/SB000000000032050075_1624787850_image1_S.jpeg,하루배송,비비드글로우,[부드러운 촉감!] 부드러운 반팔 슬림 오버로크 라떼 티셔츠_비비드글로우,10%,"16,020원","17,800원",61개 구매중,상의
https://image.brandi.me/cproduct/2021/04/21/SB000000000025985440_1619029746_image1_S.jpeg,하루배송,투홀릭,(핏보장) 딥 유넥 슬림 크롭 반팔 티셔츠 3color_투홀릭,10%,"19,530원","21,700원",15개 구매중,상의
https://image.brandi.me/cproduct/2021/05/10/SB000000000024084810_1620631895_image1_S.jpeg,하루배송,글로인,[5COLOR/패드O] 퍼스널 골지라인 브라탑 _글로인,10%,"14,220원","15,800원",114개 구매중,상의
https://image.brandi.me/cproduct/2021/01/24/SB000000000019399864_1611496893_image1_S.jpeg,하루배송,니드온,[ 오프숄더가능 ] 크로스 랩 슬림 긴팔티셔츠 3color_니드온,10%,"23,130원","25,700원",588개 구매중,상의
https://image.brandi.me/cproduct/2020/08/26/19174566_1598420454_image1_M.jpg,하루배송,잇힝,브이넥 버튼 단추 찰랑 티셔츠 여름 긴팔 티셔츠 _잇힝,7%,"20,180원","21,700원",21개 구매중,상의
https://image.brandi.me/cproduct/2020/06/20/17581651_1592586464_image1_M.jpg,하루배송,미닛마켓,글램 딥라운드 골지 쫀쫀 반팔 티셔츠 (4color) _미닛마켓,10%,"17,730원","19,700원",65개 구매중,상의
https://image.brandi.me/cproduct/2020/04/07/15272218_1586245114_image1_M.jpg,하루배송,모던바이민,(핏예쁨/꼭소장!!) 챠르르 실키 내추럴 커프스 셔츠 3COLOR_모던바이민,9%,"35,850원","39,400원",20개 구매중,상의
https://image.brandi.me/cproduct/2022/05/18/SB000000000062488424_1652865965_image1_S.jpeg,하루배송,알콜,[SET가능] 짱편해요! 찰랑핏 박시 반팔 티셔츠 (7color) _ 알콜,10%,"16,830원","18,700원",19개 구매중,상의
https://image.brandi.me/cproduct/2022/05/17/SB000000000062264089_1652760497_image1_S.jpeg,하루배송,라블랑,[루즈핏/3col] 유니크 라운드 언발 사선 캉캉 랩 프릴 퍼프 반팔 블라우스 _라블랑,8%,"25,480원","27,700원",17개 구매중,상의
