이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/02/10/SB000000000052581588_1644486582_image1_S.jpeg,하루배송,유어아운스퀘어,(물빠짐X이염X) 생지 투컬러 이염없는 청치마 A라인 하프 스커트 _유어아운스퀘어,10%,"28,440원","31,600원",531개 구매중,스커트
https://image.brandi.me/cproduct/2021/07/10/SB000000000033475406_1625894690_image1_S.jpeg,하루배송,투홀릭,(핏대박/휴가룩) 플라워 트임 밴딩 맥시 롱 머메이드 스커트 3color_투홀릭,10%,"40,770원","45,300원",16개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/03/SB000000000061078408_1651561087_image1_S.jpeg,하루배송,프렌치오브,(2color)핀치 여름 다잉 파스텔 트임 롱 치마 스커트_프렌치오브,10%,"44,370원","49,300원",42개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/30/SB000000000060862690_1651291238_image1_S.jpeg,하루배송,수니,넬 플리츠 쉬폰 주름 롱 스커트_수니,10%,"28,440원","31,600원",41개 구매중,스커트
https://image.brandi.me/cproduct/2021/04/06/SB000000000024109788_1617693044_image1_S.jpeg,하루배송,프렌치오브,(3color)뮤시드 리본 밴딩 코튼 봄 롱 스커트_프렌치오브,10%,"28,440원","31,600원",606개 구매중,스커트
https://image.brandi.me/cproduct/2021/01/30/SB000000000019815994_1612020823_image1_S.jpeg,하루배송,슈가파우더,"색감최고, 그레이시 데님 스커트_슈가파우더",10%,"30,240원","33,600원",691개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/05/SB000000000061351505_1651751755_image1_S.jpeg,하루배송,코브리조x하루배송,[쿠폰][바스락] 핀턱 미니스커트 4colors 하이웨스트 플리츠 H라인 치마 면 코튼_코브리조_2,10%,"28,440원","31,600원",65개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/21/SB000000000059451624_1650508413_image1_S.jpeg,하루배송,먼데이로우,미디엄 봄 하프데님스커트_먼데이로우,10%,"31,950원","35,500원",44개 구매중,스커트
https://image.brandi.me/cproduct/2022/02/21/SB000000000053686626_1645446432_image1_S.jpeg,하루배송,마이블링,[4color/국내생산] 쉬폰 랩 플레어 밴딩 A라인 치마바지 미니 스커트_마이블링,10%,"28,440원","31,600원",31개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/04/SB000000000054701808_1646380377_image1_S.jpeg,하루배송,리틀페어리,[물빠짐zero!/허리들뜸없이-/안정적기장]생지 하이웨스트 H라인 스티치 미니 포켓 데님 봄 스커트  청 3부 치마(1color)_리틀페어리,10%,"28,440원","31,600원",14개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/26/SB000000000051056547_1643190127_image1_S.jpeg,하루배송,헤이로지즈,[벨트포함/핏보장] 데일리 H 롱스커트 _헤이로지즈,10%,"30,240원","33,600원",405개 구매중,스커트
https://image.brandi.me/cproduct/2021/07/21/SB000000000034324403_1626881209_image1_S.jpeg,하루배송,라프랑,[바스락/set] 페어 나일론 셋업 데일리 세트 밴딩 롱 스커트 4COL_라프랑,10%,"31,950원","35,500원",12개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/02/SB000000000058024998_1648919240_image1_S.jpeg,하루배송,슈가파우더,[벨트세트/속바지O] 유행하는 미우 플리츠 스커트_슈가파우더,10%,"19,530원","21,700원",123개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/03/SB000000000060910889_1651571381_image1_S.jpeg,하루배송,더모닌,[쿠폰] [탄탄해요!] 화이트 스티치 H라인 코튼 트임 롱스커트 (1color)_더모닌,10%,"39,060원","43,400원",11개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/03/SB000000000054612617_1646318127_image1_S.jpeg,하루배송,유이아,"[쿠폰][흑청,중청 2COL!] 리텐 언발 트임 데님 미니 스커트_유이아",10%,"33,660원","37,400원",134개 구매중,스커트
https://image.brandi.me/cproduct/2021/05/06/SB000000000027118532_1620308735_image1_S.jpeg,하루배송,더모닌,투버튼 마들렌 핀턱 롱 스커트 (4color)_더모닌,10%,"28,440원","31,600원",214개 구매중,스커트
https://image.brandi.me/cproduct/2020/09/04/19540385_1599215306_image1_M.jpg,하루배송,유어아운스퀘어,(딱 예쁜기장! 2컬러) 세미 A라인 코튼 스커트 _유어아운스퀘어,10%,"23,130원","25,700원","1,475개 구매중",스커트
https://image.brandi.me/cproduct/2022/02/08/SB000000000052329863_1644340418_image1_S.jpeg,하루배송,코브리조x하루배송,[뒷밴딩] 셔링 옆트임 롱스커트 2colors 밴딩 무지 스판 H라인 하이웨스트 치마_코브리조_2,10%,"31,950원","35,500원",25개 구매중,스커트
https://image.brandi.me/cproduct/2021/04/30/SB000000000026756044_1619769529_image1_S.jpeg,하루배송,다미로그,[스판대박/속바지내장] 쫀득 H라인 밴딩 치마바지 스커트_다미로그,10%,"21,330원","23,700원",173개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/31/SB000000000057782681_1648730591_image1_S.jpeg,하루배송,박남매x하루배송,아르민 롱 트임 스커트(셋업구매가능) P000BIDK_박남매_2,10%,"30,240원","33,600원",59개 구매중,스커트
