이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2020/06/11/17285783_1591882828_image1_M.jpg,하루배송,보나마켓,"[히든밴딩,여름ver]하이웨스트 와이드핏 롱 팬츠 청바지(onecolor)_보나마켓",9%,"34,030원","37,400원",20개 구매중,바지
https://image.brandi.me/cproduct/2022/05/17/SB000000000062380292_1652788276_image1_S.jpeg,하루배송,작은방,베이직 캐주얼 린넨 아웃포켓 3부 일자 반바지 3컬러_작은방,10%,"28,440원","31,600원",15개 구매중,바지
https://image.brandi.me/cproduct/2022/05/17/SB000000000062019972_1652802503_image1_S.jpeg,하루배송,더모닌,[강추!롱&숏버전] 하이웨스트 와이드 코튼 핀턱 밴딩 트레이닝 팬츠 (4color)_더모닌,10%,"24,930원","27,700원",13개 구매중,바지
https://image.brandi.me/cproduct/2022/04/27/SB000000000060409279_1651053384_image1_S.jpeg,하루배송,글로인,[5COLOR/베이직] 무드 핀턱 스트레이트 코튼 PT _글로인,10%,"24,930원","27,700원",18개 구매중,바지
https://image.brandi.me/cproduct/2022/04/25/SB000000000060324990_1650903130_image1_S.jpeg,하루배송,미우블랑,[여름까지/가벼운소재] 투버튼 뒷밴딩 하이웨스트 차르르 핀턱 와이드 슬랙스_미우블랑,8%,"27,230원","29,600원",12개 구매중,바지
https://image.brandi.me/cproduct/2022/04/24/SB000000000060177811_1650811585_image1_S.jpeg,하루배송,로그인,(인생바지핏) 연청 하이웨스트 스판 부츠컷 데님 팬츠 _로그인,9%,"34,030원","37,400원",15개 구매중,바지
https://image.brandi.me/cproduct/2022/04/18/SB000000000059632740_1650274804_image1_S.jpeg,하루배송,알콜,[꾸안꾸/포인트템] 찢청 하이웨스트 와이드 데님 팬츠 _ 알콜,10%,"35,460원","39,400원",11개 구매중,바지
https://image.brandi.me/cproduct/2022/03/31/SB000000000057666749_1648693411_image1_S.jpeg,하루배송,더핑크샵x하루배송,[기장선택가능/착붙쫀쫀!] 로유 하이웨스트 투버튼 슬림 일자 데님 팬츠 (2color)_더핑크샵_2,10%,"29,340원","32,600원",31개 구매중,바지
https://image.brandi.me/cproduct/2022/03/30/SB000000000057544091_1648606196_image1_S.jpeg,하루배송,유라타임,턴업 코튼 하이웨스트 핀턱 와이드 팬츠_유라타임,10%,"40,770원","45,300원",13개 구매중,바지
https://image.brandi.me/cproduct/2022/03/25/SB000000000056683224_1648195759_image1_S.jpeg,하루배송,프렌치오브,(2color)브루아 봄 연청 진청 와이드 데님 바지 팬츠_프렌치오브,10%,"33,660원","37,400원",32개 구매중,바지
https://image.brandi.me/cproduct/2022/03/21/SB000000000056524097_1647860375_image1_S.jpeg,하루배송,유어아운스퀘어,[6 Colors] 하이웨스트 롱 와이드 데님 청바지 _유어아운스퀘어,10%,"30,240원","33,600원",11개 구매중,바지
https://image.brandi.me/cproduct/2022/03/13/SB000000000055441080_1647165077_image1_S.jpeg,하루배송,복플레이스,~2XL[예쁜핏/뒷밴딩!!]연청 예쁨처방 워싱 뒷밴딩 스판 슬림 일자 데님팬츠_복플레이스,10%,"30,240원","33,600원",53개 구매중,바지
https://image.brandi.me/cproduct/2022/03/06/SB000000000054808619_1646564105_image1_S.jpeg,하루배송,복플레이스,2Col[허리밴딩/왕쫀득~핏예쁜]허리밴딩 왕쫀득 핵편한 슬림 일자 면팬츠_복플레이스,10%,"33,660원","37,400원",45개 구매중,바지
https://image.brandi.me/cproduct/2022/03/04/SB000000000054678653_1646375742_image1_S.jpeg,하루배송,프렌치오브,(2color)페이즈 비죠 데님 하이웨스트 와이드 청바지 팬츠_프렌치오브,10%,"42,570원","47,300원",62개 구매중,바지
https://image.brandi.me/cproduct/2022/03/03/SB000000000054541416_1646292102_image1_S.jpeg,하루배송,박남매x하루배송,숏/미들/롱 허리밴딩 기본 스트레이트핏 롱 슬랙스 P0000165_박남매_2,10%,"23,940원","26,600원",24개 구매중,바지
https://image.brandi.me/cproduct/2022/02/22/SB000000000053785204_1645523681_image1_S.jpeg,하루배송,알콜,[3Line] 숏 기본 롱 투버튼 스키니 데님 팬츠 / 슬림핏 청바지 (2color) _ 알콜,10%,"29,340원","32,600원",21개 구매중,바지
https://image.brandi.me/cproduct/2022/02/22/SB000000000053734183_1645507786_image1_S.jpeg,하루배송,프렌치오브,리사이클 데님 봄 슬림 하이웨스트 일자 바지 팬츠_프렌치오브,10%,"47,880원","53,200원",59개 구매중,바지
