이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/04/01/SB000000000057867947_1648793324_image1_S.jpeg,하루배송,키키러브,[날씬핏/14color] 예쁜몸매! 내 몸에 착 붙는 찹쌀떡 이너템 데일리 기본 유넥 반팔]치즈유넥반팔_키키러브,10%,13320,14800,449 ,상의
https://image.brandi.me/cproduct/2022/04/23/SB000000000034250919_1650704472_image1_S.jpeg,하루배송,루즈브라운,[시원한소재] 여름휴가필수템! 쫀~쫀 언발 뷔스티에 브라탑 나시 (6 color) ㅣ 바캉스룩 해변룩 계곡룩 휴양지룩 휴가룩 _루즈브라운,10%,14220,15800,775 ,상의
https://image.brandi.me/cproduct/2021/03/24/SB000000000023390243_1616560113_image1_S.jpeg,하루배송,브링잇,"[속옷노출zero!, 끈조절] 끈나시 브이넥 블라우스 _브링잇",6%,16730,17800,"13,321 ",상의
https://image.brandi.me/cproduct/2022/02/28/SB000000000054342779_1646049740_image1_S.jpeg,하루배송,더모닌,[재진행/세탁후그대로!] 실켓 프리미엄 반팔티셔츠 10color_더모닌,10%,21330,23700,"8,213 ",상의
https://image.brandi.me/cproduct/2022/05/30/SB000000000063656117_1653930235_image1_S.jpeg,하루배송,리틀페어리,후기극찬-반팔ver[은근섹시/말라보여요!]여신 끈 나시 여리 원숄더 오프숄더 반팔 크롭 기본 티셔츠 필라테스 운동복 요가복 헬스 (5colors)_리틀페어리,10%,15120,16800,145 ,상의
https://image.brandi.me/cproduct/2022/06/03/SB000000000063931706_1654239917_image1_S.jpeg,하루배송,프렌치오브,하울 레터링 빈티지 루즈핏 여름 반팔 티셔츠(3color)_프렌치오브,10%,13320,14800,306 ,상의
https://image.brandi.me/cproduct/2022/04/04/SB000000000058222718_1649088827_image1_S.jpeg,하루배송,반하리마켓,"(봄,여름~여친룩) 남심저격 여리 하찌 부클 입술넥 니트 티셔츠_반하리마켓",10%,21330,23700,292 ,상의
https://image.brandi.me/cproduct/2020/06/04/17074347_1591215372_image1_M.jpg,하루배송,빈야드,케즈 크롭 스퀘어 블라우스_빈야드,10%,21330,23700,"2,317 ",상의
https://image.brandi.me/cproduct/2022/06/15/SB000000000065084219_1655284873_image1_S.jpeg,하루배송,일랑,원포인트 카라 퍼프 리본블라우스_일랑,25%,20780,27700,36 ,상의
https://image.brandi.me/cproduct/2022/05/14/SB000000000062160399_1652539565_image1_S.jpeg,하루배송,니드어린,퍼프 플레어 펀칭 블라우스(2color)_니드어린,10%,19530,21700,158 ,상의
https://image.brandi.me/cproduct/2022/06/19/SB000000000065451505_1655603633_image1_S.jpeg,하루배송,슈가파우더,"[살탐방지/19컬러~] 거즈셔츠, 루즈핏 린넨 시스루 남방 블라우스_슈가파우더",10%,19530,21700,99 ,상의
https://image.brandi.me/cproduct/2021/06/10/SB000000000030620823_1623355225_image1_S.jpeg,하루배송,미닛마켓,(14color) 파임 적은 기본 유넥 슬림 면 반팔 티셔츠 _미닛마켓,10%,13720,15240,"7,654 ",상의
https://image.brandi.me/cproduct/2022/05/16/SB000000000062266344_1652714610_image1_S.jpeg,하루배송,아엘리,[4color/러블리] 스퀘어넥 크롭 셔링 허리밴딩 반팔 블라우스_아엘리,10%,19530,21700,178 ,상의
https://image.brandi.me/cproduct/2022/05/27/SB000000000063498508_1653669218_image1_S.jpeg,하루배송,그리니스튜디오,"[비침X,베이직] 8컬러 제트 크롭 카라 파스텔 바스락 기본 코튼 반팔 셔츠 _그리니스튜디오",10%,19530,21700,210 ,상의
https://image.brandi.me/cproduct/2022/06/08/SB000000000064359865_1654706621_image1_S.jpeg,하루배송,리틀페어리,[#살안타템/44~66/바캉스필수]하의실종 여리핏 썸머 비치 시스루 긴팔 카라 롱셔츠 (6colors)_리틀페어리,10%,23130,25700,50 ,상의
https://image.brandi.me/cproduct/2022/04/21/SB000000000059875834_1650505790_image1_S.jpeg,하루배송,유니크온,[6컬러:D]바스락산뜻쿨링촉감 봄여름 스탠다드 반팔 셔츠_유니크온,10%,28440,31600,601 ,상의
https://image.brandi.me/cproduct/2022/05/26/SB000000000063298159_1653543981_image1_S.jpeg,하루배송,앤드모어,"[꾸안꾸/트임포인트!] 예쁨주의, 어깨 트임 골지 반팔티셔츠 (3color)_앤드모어",10%,19530,21700,153 ,상의
