이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/04/05/SB000000000058388103_1649168881_image1_S.jpeg,하루배송,아이메리,[쿠폰][원피스같은/고급스러움] 브이넥 카라 펀칭 레이스 반팔 니트 롱 스커트 투피스 세트 / 하객룩 _아,10%,"39,060원","43,400원",305개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/16/SB000000000062245494_1652692281_image1_S.jpeg,하루배송,데일리유,"[ 데일리,여름신상 ] 청순무드,스퀘어 프릴 랩 반팔 미니원피스 [3color]_데일리유",10%,"28,440원","31,600원",218개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/04/SB000000000027063594_1620139682_image1_S.jpeg,하루배송,마이블링,[대존예핏] 여름 린넨 하트넥 퍼프 플레어 뒷리본 하객 반팔 롱 원피스 4color_마이블링,10%,"31,950원","35,500원","2,237개 구매중",원피스
https://image.brandi.me/cproduct/2022/04/19/SB000000000059659548_1650328649_image1_S.jpeg,하루배송,이퓨x하루배송,[쿠폰]헤시 캉캉 롱 원피스 - 3color_이퓨_2,10%,"33,660원","37,400원",214개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/25/SB000000000029014856_1621956574_image1_S.jpeg,하루배송,비비드글로우,"[쿠폰][투피스set, 찰랑~짱편함!] 크롭 반팔 와이드 밴딩 트임 팬츠 트레이닝 투피스 세트_비비드글로우",10%,"24,930원","27,700원","3,895개 구매중",원피스
https://image.brandi.me/cproduct/2022/04/12/SB000000000059153544_1649775475_image1_S.jpeg,하루배송,클루이가넷x하루배송,카라넥 반팔 셔츠원피스 롱남방 여름 여성원피스_클루이가넷_2,10%,"30,240원","33,600원",419개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/29/SB000000000060832282_1651222616_image1_S.jpeg,하루배송,그리니스튜디오,"[미니멀,백리본] 4col 러브다이브 브이넥 반팔 퍼프 무지 데일리 롱 원피스 _그리니스튜디오",10%,"30,240원","33,600원",294개 구매중,원피스
https://image.brandi.me/cproduct/2021/08/16/SB000000000036230075_1629124127_image1_S.jpeg,하루배송,투밋투,오프숄더 어깨 퍼프 셔링 벌룬 반팔 여름 A라인 코튼 롱원피스_투밋투,20%,"45,760원","57,200원",152개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/23/SB000000000028631347_1621764131_image1_S.jpeg,하루배송,블리즈,포카리 스트라이프 셔츠 롱원피스_블리즈,10%,"19,530원","21,700원",836개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/28/SB000000000060736547_1651167744_image1_S.jpeg,하루배송,애플망고,[~77까지/허리잘록!] 시원하고 편안한 캉캉 반팔 롱원피스 [3color] _애플망고,10%,"24,930원","27,700원",112개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/15/SB000000000062469087_1655270432_image1_S.jpeg,하루배송,유이아,[쿠폰][휴가룩 추천!] 플라워 랩 프릴 페미닌 롱 원피스 (3COL)_유이아,10%,"33,660원","37,400원",74개 구매중,원피스
https://image.brandi.me/cproduct/2021/04/22/SB000000000026083812_1619116443_image1_S.jpeg,하루배송,빈야드,(투피스) 여름 코튼 랩 데일리 롱 원피스(4color)_빈야드,10%,"23,130원","25,700원","1,339개 구매중",원피스
https://image.brandi.me/cproduct/2022/05/04/SB000000000061117491_1651639387_image1_S.jpeg,하루배송,니드온,[ 오프숄더ok ] 나린 스퀘어넥 셔링 퍼프 린넨 미니원피스 (3col)_니드온,10%,"23,130원","25,700원",222개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/27/SB000000000029181331_1622091021_image1_S.jpeg,하루배송,302호,[쿠폰]썸머파스텔 반팔롱셔츠원피스_302호,10%,"26,640원","29,600원",419개 구매중,원피스
https://image.brandi.me/cproduct/2021/04/22/SB000000000026068285_1619091735_image1_S.jpeg,하루배송,씨리얼,[청량감 200%] 블루 플라워 셔링 퍼프 플리츠 미니 원피스_씨리얼,10%,"30,240원","33,600원","1,354개 구매중",원피스
https://image.brandi.me/cproduct/2022/04/29/SB000000000060825185_1651220240_image1_S.jpeg,하루배송,프렌치오브,(7color)비기닝 여름 파스텔 셔츠 루즈핏 반팔 롱 원피스_프렌치오브,10%,"35,460원","39,400원",372개 구매중,원피스
